Region,Building_type,concrete,glass
1,Detached,876.71,2.68
1,Semi-detached,1208.13,1.07
1,Appartments,995.92,6.35
1,High-rise,1040.35,1.2
2,Detached,472.1,3.32
2,Semi-detached,1208.13,1.07
2,Appartments,57.69,6.35
2,High-rise,265.24,4.42
3,Detached,846.33,2.68
3,Semi-detached,1208.13,1.07
3,Appartments,995.92,6.35
3,High-rise,910.21,4.42
4,Detached,735,2.68
4,Semi-detached,1315,1.07
4,Appartments,995.92,6.35
4,High-rise,910.21,4.42
5,Detached,897.65,0.8
5,Semi-detached,1208.13,1.07
5,Appartments,995.92,6.35
5,High-rise,611.19,0.66
6,Detached,607.64,1.18
6,Semi-detached,894.86,1.07
6,Appartments,933,1.8
6,High-rise,910.21,4.42
7,Detached,846.33,2.68
7,Semi-detached,1208.13,1.07
7,Appartments,995.92,6.35
7,High-rise,910.21,4.42
8,Detached,675.66,0.04
8,Semi-detached,1208.13,1.07
8,Appartments,995.92,6.35
8,High-rise,910.21,4.42
9,Detached,846.33,2.68
9,Semi-detached,1208.13,1.07
9,Appartments,995.92,6.35
9,High-rise,910.21,4.42
10,Detached,846.33,2.68
10,Semi-detached,1208.13,1.07
10,Appartments,995.92,6.35
10,High-rise,910.21,4.42
11,Detached,1507.04,2.51
11,Semi-detached,796.02,1.07
11,Appartments,567.99,11.21
11,High-rise,850.7,4.75
12,Detached,1892.83,33.54
12,Semi-detached,1208.13,1.07
12,Appartments,810.86,6.35
12,High-rise,902.59,4.42
13,Detached,846.33,2.68
13,Semi-detached,1208.13,1.07
13,Appartments,1507.64,6.35
13,High-rise,768.27,4.42
14,Detached,846.33,2.68
14,Semi-detached,1208.13,1.07
14,Appartments,995.92,6.35
14,High-rise,910.21,4.42
15,Detached,846.33,2.68
15,Semi-detached,1208.13,1.07
15,Appartments,995.92,6.35
15,High-rise,910.21,4.42
16,Detached,846.33,2.68
16,Semi-detached,1208.13,1.07
16,Appartments,995.92,6.35
16,High-rise,910.21,4.42
17,Detached,1641.98,2.72
17,Semi-detached,1208.13,1.07
17,Appartments,1926.32,6.35
17,High-rise,910.21,4.42
18,Detached,1069.5,2.6
18,Semi-detached,1208.13,1.07
18,Appartments,1005.8,6.35
18,High-rise,1733.6,4.42
19,Detached,846.33,2.68
19,Semi-detached,1208.13,1.07
19,Appartments,2319.18,6.35
19,High-rise,932.62,9.25
20,Detached,2613.94,7.82
20,Semi-detached,1208.13,1.07
20,Appartments,995.92,6.35
20,High-rise,295.01,1.97
21,Detached,846.33,2.68
21,Semi-detached,2729.51,1.07
21,Appartments,1164.02,0.78
21,High-rise,910.21,4.42
22,Detached,25.78,1.6
22,Semi-detached,1208.13,1.07
22,Appartments,995.92,6.35
22,High-rise,910.21,0.73
23,Detached,224.67,4
23,Semi-detached,1208.13,1.07
23,Appartments,995.92,6.35
23,High-rise,1871,2
24,Detached,627.84,1.06
24,Semi-detached,795.98,1.07
24,Appartments,701.25,6.35
24,High-rise,1136.39,7.3
25,Detached,846.33,2.68
25,Semi-detached,1208.13,1.07
25,Appartments,995.92,6.35
25,High-rise,910.21,4.42
26,Detached,846.33,2.68
26,Semi-detached,1208.13,1.07
26,Appartments,995.92,6.35
26,High-rise,910.21,4.42
